name,subGroupName,mod,digital_assign.x,lv.mod,2016,2017,2018,2019,2020,count_2021,2022,2023,growth,cagr,score,digital_assign.y
Enterprise resource planning ERP software,Enterprise resource planning ERP software,Business and management,1,Workforce digital skills,5080,13968,29637,29951,21903,29883,45275,17569,-0.0022703749457447164,-0.001135832530641201,137.9514530154629,1
Enterprise resource planning ERP system,Enterprise resource planning ERP software,Business and management,1,Workforce digital skills,1378,3936,7665,7599,5581,8260,20032,8451,0.08698512962231873,0.04258579005390195,149.76686869935807,1
Epicor,Enterprise resource planning ERP software,Business and management,1,Workforce digital skills,127,344,629,620,453,689,1131,427,0.11129032258064517,0.054177557425998835,146.27561527703514,1
Estimating software,Project management software,Business and management,1,Workforce digital skills,147,667,1282,1120,803,1061,1784,830,-0.05267857142857143,-0.026695613607218727,136.9314083603541,1
Excavator,Analytical or scientific software,Trades,1,Industrial modelling & geospatial software skills,693,1315,2949,2846,2928,3833,6337,2775,0.34680252986647925,0.16051821608558958,384.2749451541902,1
FPGA (Field programmable gate array),Computer aided design CAD software,High-tech,1,Software/product dev & data skills,532,613,994,1068,344,367,361,145,-0.6563670411985019,-0.4137978515891484,57.86358066938768,1
File management software,Document management software,High-tech,1,Design & marketing skills,354,444,566,822,793,1215,725,339,0.4781021897810219,0.21577226065617316,66.39032174895709,1
File management systems,Document management software,General office,1,Workforce digital skills,2,67,153,171,135,240,517,342,0.40350877192982454,0.1846977555181848,165.06902355009038,1
File servers,Operating system software,High-tech,1,Cybersecurity & system infrastructure skills,48,132,334,278,170,268,328,117,-0.03597122302158273,-0.01815032872724487,39.45235577276828,1
FileMaker Pro,Data base user interface and query software,General office,1,Workforce digital skills,24,136,273,312,187,257,315,112,-0.1762820512820513,-0.09241091416988234,171.3822624320355,1
Financial planning software,Financial analysis software,Business and management,1,Workforce digital skills,63,213,252,240,110,277,496,267,0.15416666666666667,0.07432149129888788,163.43709075906682,1
Flat files,Information Technology and telecommunications,High-tech,1,Software/product dev & data skills,23,134,191,144,92,127,161,55,-0.11805555555555555,-0.060881027534612886,43.840925595344046,1
Geographic information system GIS marketing software,Data base user interface and query software,High-tech,1,Industrial modelling & geospatial software skills,132,244,429,367,289,392,584,334,0.0681198910081744,0.033498858735787174,70.23206857368272,1
Geographic information system GIS systems,Map creation software,High-tech,1,Industrial modelling & geospatial software skills,1218,3418,7016,6932,4387,6441,12218,4674,-0.07083092902481246,-0.03606583680461484,127.04357729674182,1
Git,File versioning software,High-tech,1,Software/product dev & data skills,2724,9161,19032,21056,8668,11865,12190,4098,-0.4365026595744681,-0.24933540084433725,26.939795857648125,1
Global positioning system GPS software,Mobile location based services software,Sales and merchandising,1,Industrial modelling & geospatial software skills,649,1453,3264,4350,3331,4137,5212,2374,-0.04896551724137931,-0.024790031450344197,313.4117619215957,1
Google AdWords,Sales and marketing software,Business and management,1,Design & marketing skills,211,870,2858,2381,1603,1589,1566,575,-0.33263334733305333,-0.18307487940023126,106.93672085979345,1
Google Analytics,Data mining software,Business and management,1,Design & marketing skills,683,2842,7500,7993,6035,8353,9576,3220,0.04503940948329788,0.02227169063967427,97.34288825970927,1
Google Calendar,Calendar and scheduling software,General office,1,Workforce digital skills,47,124,480,532,385,561,784,272,0.05451127819548872,0.026893995598128217,167.87005233630998,1
Google Docs,Word processing software,General office,1,Workforce digital skills,126,795,2361,2723,2212,3276,4640,2410,0.20308483290488433,0.09685223840993462,163.77053563473424,1
Google Drive,Office suite software,General office,1,Workforce digital skills,71,1599,2664,1949,1933,2833,4062,1565,0.45356593124679323,0.2056392210138127,161.0832735946349,1
Google Gmail,Electronic mail software,General office,1,Workforce digital skills,5,21,92,121,80,122,206,96,0.008264462809917356,0.00412372883520562,152.6066722543944,1
Google Sheets,Spreadsheet software,General office,1,Workforce digital skills,24,277,876,1210,1221,2497,3505,1351,1.0636363636363637,0.4365362381911442,144.2435558282067,1
Google Slides,Presentation software,General office,1,Workforce digital skills,NA,31,126,162,190,368,591,156,1.271604938271605,0.5071844406945041,128.54303106546496,1
Graphic Design,Video production and computer graphics,Business and management,1,Design & marketing skills,2042,4985,10469,10279,6881,8852,11610,4602,-0.13882673411810487,-0.0720057834868284,104.49171764355329,1
Graphics software,Graphics or photo imaging software,High-tech,1,Design & marketing skills,176,332,330,355,272,368,480,238,0.036619718309859155,0.018145234389406406,116.32125584498213,1
Groovy,Web platform development software,High-tech,1,Software/product dev & data skills,153,618,1148,1112,512,714,807,292,-0.3579136690647482,-0.19869710412650332,40.944314924542866,1
GroupWise,Electronic mail software,General office,1,Workforce digital skills,29,131,314,302,290,477,461,170,0.5794701986754967,0.25676974767675587,205.01723792699826,1
HRMDirect,Human resources software,Sales and merchandising,1,Workforce digital skills,8,3,31,49,1001,243,NA,NA,3.9591836734693877,1.2269224668742709,260.14006394373047,1
HTML  (Hypertext markup language),Web platform development software,High-tech,1,Software/product dev & data skills,3781,8218,15888,15113,5373,6406,5905,1698,-0.5761265135975651,-0.34894432926021224,15.983045383121775,1
HTML5,Web platform development software,High-tech,1,Software/product dev & data skills,2123,5465,8729,8085,2476,2582,2243,731,-0.680643166357452,-0.43488334510249305,24.901746227123105,1
Help desk software,Helpdesk or call center software,High-tech,1,Cybersecurity & system infrastructure skills,16,49,144,146,106,206,285,96,0.410958904109589,0.18783791154752638,40.05351463705881,1
Hootsuite,Enterprise application integration software,Business and management,1,Design & marketing skills,3285,1766,1722,1986,2201,1805,3086,762,-0.09113796576032225,-0.04665744129422311,131.2695733252315,1
Hotspot,Analytical or scientific software,Sales and merchandising,1,Cybersecurity & system infrastructure skills,6,25,72,93,115,168,433,224,0.8064516129032258,0.344043010064494,271.68604115771643,1
Human machine interface HMI software,Industrial control software,Trades,1,Industrial modelling & geospatial software skills,29,187,268,267,136,182,186,321,-0.31835205992509363,-0.17438026908575743,106.84867750512909,1
Human resource information system HRIS,Human resources software,General office,1,Workforce digital skills,1072,3543,6594,6647,4254,7972,11978,4628,0.1993380472393561,0.09514293461600531,172.05883845740834,1
Human resource management software HRMS,Human resources software,General office,1,Workforce digital skills,285,778,1204,995,580,973,1203,469,-0.022110552763819097,-0.011117071015895763,149.29026160980334,1
Human resources information system HRIS,Human resources software,General office,1,Workforce digital skills,33,130,277,272,187,334,559,263,0.22794117647058823,0.10812507257555914,174.36334888613217,1
Human resources software,Human resources software,General office,1,Workforce digital skills,231,351,516,650,446,637,711,398,-0.02,-0.01005050633883342,169.67315216036118,1
IBM AIX,Operating system software,High-tech,1,Software/product dev & data skills,491,1004,1565,1049,601,855,765,236,-0.18493803622497618,-0.09719217782795886,36.25097024086954,1
IBM AS400,Enterprise resource planning ERP software,General office,1,Workforce digital skills,696,2168,4472,3502,2402,3642,5900,1911,0.03997715591090805,0.019792702420893038,164.9260925468861,1
IBM Cognos,Human resources software,High-tech,1,Software/product dev & data skills,79,241,414,429,233,262,314,110,-0.38927738927738925,-0.21851256521770568,46.553700740271466,1
IBM DB2,Data base user interface and query software,High-tech,1,Software/product dev & data skills,1010,2204,3635,2823,1440,1849,1864,615,-0.34502302515054906,-0.19069352229859737,41.618384819800866,1
IBM Digital Analytics,Business intelligence and data analysis software,Business and management,1,Design & marketing skills,214,545,836,957,523,829,1111,325,-0.13375130616509928,-0.06927517824283813,87.62316748137238,1
IBM Lotus Notes,Electronic mail software,General office,1,Workforce digital skills,786,1812,2916,2290,1224,1092,1206,443,-0.5231441048034935,-0.30945246709838536,139.99885339826255,1
IBM MVS,Operating system software,High-tech,1,Software/product dev & data skills,91,142,219,163,142,256,192,66,0.5705521472392638,0.2532167199807318,75.78070371935655,1
IBM Maximo,Enterprise resource planning ERP software,Business and management,1,Workforce digital skills,235,881,1727,1932,1188,1498,2217,1044,-0.2246376811594203,-0.11945339768949215,157.7991592737958,1
IBM Middleware,Transaction server software,High-tech,1,Software/product dev & data skills,1109,2323,3374,2830,1620,2089,2263,816,-0.2618374558303887,-0.14083613660163097,38.69034204825758,1
IBM WebSphere,Enterprise application integration software,High-tech,1,Software/product dev & data skills,1056,2174,3127,1878,866,995,966,342,-0.4701810436634718,-0.2721133629908238,23.300921598890127,1
IOS,Operating system software,High-tech,1,Cybersecurity & system infrastructure skills,3032,5384,9034,9283,5275,6651,6911,2189,-0.2835290315630723,-0.15355391876568547,118.40663696005417,1
IRIS,Graphics or photo imaging software,Communication and interaction,1,Workforce digital skills,196,412,848,982,562,955,1067,473,-0.0274949083503055,-0.01384327226870552,226.503486051092,1
ISO 27001,IT infrastructure and cybersecurity,High-tech,1,Cybersecurity & system infrastructure skills,113,530,1097,1400,960,1381,1461,581,-0.013571428571428571,-0.0068088948099809254,69.13464645764647,1
ISO27000,IT infrastructure and cybersecurity,High-tech,1,Cybersecurity & system infrastructure skills,23,91,206,189,162,165,132,57,-0.12698412698412698,-0.06564681569768649,57.058329492029756,1
Image editing software,Graphics or photo imaging software,High-tech,1,Design & marketing skills,229,262,333,373,287,401,414,172,0.07506702412868632,0.036854389067571214,31.590226740284823,1
Imaging software,Graphics or photo imaging software,High-tech,1,Cybersecurity & system infrastructure skills,40,193,319,364,227,457,328,157,0.2554945054945055,0.12048851198685018,125.85313657323174,1
Imaging systems,Information Technology and telecommunications,High-tech,1,Cybersecurity & system infrastructure skills,135,319,505,338,149,275,380,156,-0.1863905325443787,-0.09799696926472501,108.44915866754847,1
Incident command system ICS software,Project management software,Business and management,1,Workforce digital skills,20,121,236,264,261,248,514,280,-0.06060606060606061,-0.030776630804880245,120.23601047528172,1
Informatica PowerCenter,Metadata management software,High-tech,1,Software/product dev & data skills,42,141,183,194,64,112,104,22,-0.422680412371134,-0.24018450421904003,12.725872100960332,1
Information Systems,Software and web development,High-tech,1,Cybersecurity & system infrastructure skills,7526,19443,36812,36198,28115,33412,41776,17806,-0.07696557820874081,-0.03925319579440745,118.4768729517055,1
Information Technology Infrastructure Library (ITIL),IT infrastructure and cybersecurity,High-tech,1,Cybersecurity & system infrastructure skills,2299,6156,11793,11390,6725,9639,12230,4458,-0.1537313432835821,-0.08007138498880362,54.227295608286084,1
Intuit QuickBooks,Accounting software,General office,1,Workforce digital skills,5,14,6410,9674,7561,9177,14479,5838,-0.05137481910274964,-0.02602608818446772,158.3284517439977,1
Inventory control software,Inventory management software,Sales and merchandising,1,Workforce digital skills,1260,1798,2616,2618,1837,2254,6049,3032,-0.13903743315508021,-0.07211931432704144,224.31920200400268,1
Inventory control systems,Inventory management software,Sales and merchandising,1,Workforce digital skills,1023,3514,3787,1902,1484,2666,3406,1235,0.40168243953732913,0.1839267036169634,277.7462243047503,1
Inventory management software,Inventory management software,Sales and merchandising,1,Workforce digital skills,76,105,317,256,248,382,2336,1572,0.4921875,0.22155126785575407,261.916971982313,1
Inventory management systems,Inventory management software,Sales and merchandising,1,Workforce digital skills,105,430,800,796,499,774,1149,515,-0.02763819095477387,-0.01391592191881219,215.53695787565206,1
Inventory software,Inventory management software,General office,1,Workforce digital skills,47,166,539,507,449,780,1451,556,0.5384615384615384,0.24034734589208462,222.094059569848,1
Invoice software,Accounting software,General office,1,Workforce digital skills,NA,2,79,133,69,154,321,139,0.15789473684210525,0.07605517369794068,180.4875440873511,1
J2EE,Development environment software,High-tech,1,Software/product dev & data skills,1665,3188,4161,3013,1267,1266,1222,453,-0.5798207766345834,-0.3517876710788227,15.188363435521435,1
JCL (Job control language),Operating system software,High-tech,1,Software/product dev & data skills,232,508,760,465,248,524,567,185,0.12688172043010754,0.06154685267778337,72.87441629715927,1
JD Edwards,Enterprise resource planning ERP software,General office,1,Workforce digital skills,647,1841,3830,3493,1801,2713,3685,1380,-0.22330375035785857,-0.11869627843623543,146.88321015689868,1
JSON,Web platform development software,High-tech,1,Software/product dev & data skills,1420,3885,7016,6825,2507,3740,3896,1668,-0.452014652014652,-0.2597396755293797,43.53175498553419,1
JUnit,Program testing software,High-tech,1,Software/product dev & data skills,381,1279,2418,2260,714,999,885,280,-0.5579646017699115,-0.3351425730052431,10.977159767955708,1
Java,Object or component oriented development software,High-tech,1,Software/product dev & data skills,11091,23590,37032,37576,17015,22442,22123,5750,-0.4027570789865872,-0.22718506677638994,44.765375720030605,1
Java EE,Development environment software,High-tech,1,Software/product dev & data skills,532,1120,2070,1833,817,646,488,167,-0.6475722858701582,-0.4063437744537317,18.994881124533688,1
JavaScript,Web platform development software,High-tech,1,Software/product dev & data skills,6899,18238,30735,32258,15541,21707,21705,5737,-0.3270816541633083,-0.1796839963546416,91.72637986229236,1
Jenkins CI,Enterprise application integration software,High-tech,1,Software/product dev & data skills,3,104,176,265,121,199,176,65,-0.2490566037735849,-0.13343009732254418,21.375553118641747,1
Jmeter,Object or component oriented development software,High-tech,1,Software/product dev & data skills,160,581,1078,1038,503,581,662,200,-0.44026974951830444,-0.2518487783330863,20.339541877163327,1
Joomla,Web platform development software,High-tech,1,Design & marketing skills,89,147,276,216,420,446,223,82,1.0648148148148149,0.4369463507086182,186.99520664998667,1
Kronos,Data base reporting software,General office,1,Workforce digital skills,252,732,2104,2355,1437,2367,3325,1242,0.005095541401273885,0.0025445333755871324,178.27338109630008,1
LaTeX,Desktop publishing software,Trades,1,Design & marketing skills,79,112,267,315,322,434,527,251,0.37777777777777777,0.17378779077726736,250.36128960882576,1
Laboratory information management system LIMS,Analytical or scientific software,Trades,1,Workforce digital skills,7,118,264,279,171,301,300,126,0.07885304659498207,0.038678509739650924,115.41097172679623,1
Laboratory information system LIS,Medical software,General office,1,Workforce digital skills,59,140,268,293,142,431,257,66,0.4709897610921502,0.21284366721030867,133.32786556108383,1
Ladder Logic,Development environment software,Trades,1,Industrial modelling & geospatial software skills,76,172,326,312,148,215,264,118,-0.3108974358974359,-0.16987798240104235,93.90567603614845,1
Laptop computers,Information Technology and telecommunications,High-tech,1,Cybersecurity & system infrastructure skills,109,360,573,444,252,389,533,207,-0.12387387387387387,-0.06398390712225133,127.50699782342632,1
Large eddy simulation LES software,Analytical or scientific software,High-tech,1,Software/product dev & data skills,6,1,126,118,93,101,133,49,-0.1440677966101695,-0.07483395901609613,85.06809784219926,1
Learning management system LMS,Computer based training software,Business and management,1,Workforce digital skills,64,271,544,582,479,696,905,446,0.1958762886597938,0.09356128710730882,121.6145883677111,1
Legal software,Expert system software,General office,1,Workforce digital skills,72,85,260,286,172,355,490,207,0.24125874125874125,0.11411792071519122,168.38901023173798,1
LexisNexis,Information retrieval or search software,Business and management,1,Workforce digital skills,113,55,62,79,29,129,133,54,0.6329113924050633,0.2778542140655418,137.1032222012191,1
Light detection and ranging LIDAR systems,Analytical or scientific software,High-tech,1,Industrial modelling & geospatial software skills,36,186,602,696,349,577,735,352,-0.17097701149425287,-0.08949300469148125,87.61494297432883,1
Linux,Operating system software,High-tech,1,Software/product dev & data skills,6059,16673,30332,30520,14094,17597,18432,5862,-0.4234272608125819,-0.24067613023992318,32.21832843082554,1
Load Link,Materials requirements planning logistics and supply chain software,Sales and merchandising,1,Workforce digital skills,83,107,226,250,239,227,353,167,-0.092,-0.047109660034272305,92.72706165437262,1
Load balancers,Networking and telecommunications,High-tech,1,Cybersecurity & system infrastructure skills,192,642,1009,915,503,663,712,266,-0.2754098360655738,-0.148771379748997,22.168952010056564,1
Local area network LAN software,LAN software,High-tech,1,Cybersecurity & system infrastructure skills,74,220,393,397,214,283,358,114,-0.2871536523929471,-0.1556977155028817,32.74758526676938,1
Lua,Object or component oriented development software,High-tech,1,Software/product dev & data skills,95,283,524,741,223,249,329,71,-0.6639676113360324,-0.42031699294876035,80.23263188028761,1
Lucidchart,Charting software,High-tech,1,Software/product dev & data skills,1,7,63,49,76,158,168,58,2.2244897959183674,0.7956864414252192,69.98085547514411,1
M code,Object or component oriented development software,High-tech,1,Software/product dev & data skills,13,6,837,890,1028,932,1363,464,0.04719101123595506,0.023323512500301735,155.79570421443768,1
MASterMind,Expert system software,Sales and merchandising,1,Workforce digital skills,132,91,383,496,277,328,404,209,-0.3387096774193548,-0.18680240864803033,193.88955698307666,1
MATLAB,Analytical or scientific software,High-tech,1,Software/product dev & data skills,308,1561,2914,3240,1408,1898,2328,860,-0.4141975308641975,-0.23462266225357675,54.83228587827784,1
MEDITECH software,Medical software,General office,1,Workforce digital skills,16,52,156,146,120,194,7908,4385,0.3287671232876712,0.15272161569377674,207.99700060573238,1
MINDBODY,Data base user interface and query software,Sales and merchandising,1,Workforce digital skills,6,15,246,278,191,189,347,135,-0.32014388489208634,-0.1754661225226014,199.97108803950792,1
MRP software,Materials requirements planning logistics and supply chain software,Business and management,1,Workforce digital skills,83,195,383,333,267,320,619,254,-0.03903903903903904,-0.01971383720825637,155.3479685441352,1
Machine Learning,Artificial Intelligence,High-tech,1,Software/product dev & data skills,641,3609,8335,11560,6230,10365,10902,3346,-0.10337370242214533,-0.05309646870557361,58.36814489929409,1
Macros,Object or component oriented development software,High-tech,1,Workforce digital skills,659,1920,3228,2968,1732,2733,3755,1321,-0.079177897574124,-0.040405240517708885,94.75401434892427,1
MadCap Flare,Desktop publishing software,High-tech,1,Design & marketing skills,6,83,111,158,90,125,92,38,-0.2088607594936709,-0.11053991629397497,55.07625372664757,1
Mainframe computers,Information Technology and telecommunications,High-tech,1,Cybersecurity & system infrastructure skills,26,53,126,144,83,181,201,86,0.2569444444444444,0.12113533725614256,31.18746237431247,1
Maintenance management software,Facilities management software,Trades,1,Workforce digital skills,71,121,309,348,240,284,513,232,-0.1839080459770115,-0.09662192077569842,162.7797762071525,1
Maintenance software,Enterprise resource planning ERP software,Trades,1,Workforce digital skills,108,452,818,752,495,910,1366,641,0.21010638297872342,0.10004835483660601,169.16386832608123,1
Management information systems MIS,Enterprise resource planning ERP software,High-tech,1,Cybersecurity & system infrastructure skills,30,89,207,200,144,166,264,127,-0.17,-0.08895664208557008,91.11974626685627,1
MapInfo,Map creation software,High-tech,1,Industrial modelling & geospatial software skills,35,143,274,259,121,159,225,95,-0.3861003861003861,-0.21648253759114344,75.13407784857627,1
Mapping software,Map creation software,High-tech,1,Industrial modelling & geospatial software skills,53,184,418,328,266,382,551,241,0.16463414634146342,0.07918216550379631,99.96884163423378,1
Mastercam,Computer aided manufacturing CAM software,Trades,1,Industrial modelling & geospatial software skills,186,464,644,609,359,435,780,341,-0.2857142857142857,-0.15484574527148343,194.4140274672696,1
Materials requirement planning MRP software,Materials requirements planning logistics and supply chain software,Business and management,1,Workforce digital skills,84,195,338,301,232,279,527,212,-0.07308970099667775,-0.037238191968894996,148.9081894931946,1
Mavenlink,Project management software,Business and management,1,Workforce digital skills,3,4,32,61,59,104,97,31,0.7049180327868853,0.30572509847474594,113.84802250448381,1
MaxScript,Development environment software,High-tech,1,Design & marketing skills,1,63,113,153,104,105,159,19,-0.3137254901960784,-0.171583130420486,56.421877258997526,1
McAfee,Transaction security and virus protection software,High-tech,1,Cybersecurity & system infrastructure skills,122,292,530,499,331,312,331,72,-0.374749498997996,-0.2092721700850514,53.45804384904642,1
Medical imaging software,Medical software,High-tech,1,Cybersecurity & system infrastructure skills,5,12,28,31,41,151,33,8,3.870967741935484,1.207026901044816,74.75122532450116,1
Medical software,Medical software,Communication and interaction,1,Industrial modelling & geospatial software skills,19,75,225,212,1268,347,383,180,0.6367924528301887,0.27937189778038696,179.47607613665798,1
Metasploit,Transaction security and virus protection software,High-tech,1,Cybersecurity & system infrastructure skills,37,70,262,209,119,116,114,32,-0.4449760765550239,-0.25500072252050066,46.61519739795941,1
MicroStrategy,Business intelligence and data analysis software,High-tech,1,Software/product dev & data skills,387,859,1349,1050,666,943,960,266,-0.1019047619047619,-0.052321131344990834,61.626317851371766,1
Microcontrollers,Miscellaneous,High-tech,1,Software/product dev & data skills,72,180,345,382,180,210,302,106,-0.450261780104712,-0.25855666440699066,43.56052112636022,1
Microsoft Access,Data base user interface and query software,General office,1,Workforce digital skills,4858,13922,26359,24373,16192,20377,26147,12120,-0.16395191400320025,-0.08564334857956013,147.65938457615115,1
Microsoft Active Directory,Internet directory services software,High-tech,1,Cybersecurity & system infrastructure skills,1572,4385,9317,9441,6541,11701,15209,5686,0.23938142145959115,0.11327508795427166,163.90519426723313,1
Microsoft Azure,Cloud Computing,High-tech,1,Software/product dev & data skills,967,4817,11397,16536,12022,18471,22248,8385,0.11701741654571843,0.05689044680407562,44.1323658985783,1
Microsoft Business Intelligence BI,Enterprise resource planning ERP software,High-tech,1,Software/product dev & data skills,259,743,888,745,463,654,791,313,-0.1221476510067114,-0.06306224913642822,51.11025506399849,1
Microsoft Dynamics,Enterprise resource planning ERP software,High-tech,1,Workforce digital skills,898,2746,5105,5123,3325,5247,6210,2269,0.024204567636150694,0.012029924278996074,114.68005063654388,1
Microsoft Dynamics AX,Enterprise resource planning ERP software,High-tech,1,Workforce digital skills,125,479,840,753,394,701,712,308,-0.06905710491367861,-0.035146179420778134,121.78812486130289,1
Microsoft Dynamics CRM,Customer relationship management CRM software,High-tech,1,Workforce digital skills,395,943,1565,1409,596,1063,998,357,-0.24556422995031937,-0.13141737868543524,80.74789696302534,1
Microsoft Dynamics ERP,Enterprise resource planning ERP software,High-tech,1,Workforce digital skills,38,35,181,158,107,159,251,140,0.006329113924050633,0.003159565534840869,122.77284849681743,1
Microsoft Dynamics GP,Enterprise resource planning ERP software,High-tech,1,Workforce digital skills,94,264,540,490,278,472,411,185,-0.036734693877551024,-0.018539197867561863,129.39142201878516,1
Microsoft Dynamics NAV,Enterprise resource planning ERP software,General office,1,Workforce digital skills,148,323,654,630,449,578,691,226,-0.08253968253968254,-0.042158511307681223,125.89488622550401,1
Microsoft Entourage,Calendar and scheduling software,Communication and interaction,1,Workforce digital skills,14,30,3153,3220,1753,812,2712,1459,-0.7478260869565218,-0.4978307924180553,263.40799093853917,1
Microsoft Excel,Spreadsheet software,General office,1,Workforce digital skills,41029,123565,280791,281613,188872,265711,379526,158428,-0.056467563642303445,-0.02864402181399195,158.61177521955162,1
Microsoft Exchange,Electronic mail software,High-tech,1,Cybersecurity & system infrastructure skills,759,1935,3401,3126,1946,2621,3243,1187,-0.16154830454254637,-0.08432991997256267,60.518628102478594,1
Microsoft Exchange Server,Electronic mail software,High-tech,1,Cybersecurity & system infrastructure skills,122,404,684,643,463,423,480,153,-0.3421461897356143,-0.1889181235754397,23.991798883281394,1
Microsoft High Level Shader Language (HLSL),Development environment software,High-tech,1,Software/product dev & data skills,NA,59,109,203,71,106,106,29,-0.47783251231527096,-0.27738842544232034,40.31073792703886,1
Microsoft Lync,Desktop communications software,High-tech,1,Cybersecurity & system infrastructure skills,214,689,760,432,257,295,243,93,-0.31712962962962965,-0.17364028996424907,148.9794533579528,1
Microsoft Office,Office suite software,General office,1,Workforce digital skills,38412,125862,281757,283720,191764,277815,401449,169799,-0.0208127731566333,-0.010461103925991866,159.7727625720988,1
Microsoft Outlook,Electronic mail software,General office,1,Workforce digital skills,11939,33814,72179,71971,51389,74693,104064,46259,0.03782078892887413,0.018734896294847703,163.9583440178295,1
Microsoft Power BI,Business intelligence and data analysis software,High-tech,1,Software/product dev & data skills,79,1103,3960,6776,5828,11594,17339,7763,0.711038961038961,0.30806687942129374,61.50205843709332,1
Microsoft Power Query Excel,Data base reporting software,High-tech,1,Software/product dev & data skills,7,48,111,158,173,349,606,271,1.2088607594936709,0.48622365729175177,70.48356385870127,1
Microsoft PowerPivot,Presentation software,High-tech,1,Software/product dev & data skills,54,179,356,415,197,302,411,148,-0.27228915662650605,-0.14694030491794186,65.65179971864801,1
Microsoft PowerPoint,Presentation software,General office,1,Workforce digital skills,18428,54702,112407,110750,71948,103801,144643,63001,-0.062744920993228,-0.031880648366756414,147.59609405704566,1
Microsoft PowerShell,Development environment software,High-tech,1,Software/product dev & data skills,552,2308,5939,6462,3796,5165,6142,2135,-0.20071185391519653,-0.10597083599873347,31.114038583893503,1
Microsoft Project,Project management software,Business and management,1,Workforce digital skills,3378,10527,19479,17855,11127,14417,20394,8906,-0.19255110613273593,-0.10141839888229176,123.28829625883816,1
Microsoft Publisher,Desktop publishing software,General office,1,Workforce digital skills,36,424,759,1002,725,1126,1971,815,0.12375249500998003,0.060071929168006966,162.87545918422478,1
Microsoft SQL Server,Data base user interface and query software,High-tech,1,Software/product dev & data skills,4193,11387,19284,17265,7960,9777,10377,3721,-0.4337098175499566,-0.24747745385932562,25.353145527611492,1
Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,High-tech,1,Software/product dev & data skills,36,172,245,247,233,199,111,50,-0.19433198380566802,-0.10240988408164164,17.253261150645063,1
Microsoft SQL Server Reporting Services,Data base reporting software,High-tech,1,Software/product dev & data skills,109,407,628,550,351,364,317,122,-0.3381818181818182,-0.1864779155928329,24.262600796562904,1
Microsoft SQL Server Reporting Services (SSRS),Data base user interface and query software,High-tech,1,Software/product dev & data skills,772,2096,3610,3497,1467,1957,1942,678,-0.4403774663997712,-0.2519207705060722,30.000180438484016,1
Microsoft SharePoint,Project management software,High-tech,1,Workforce digital skills,2799,9038,17269,17096,10889,17311,26254,11408,0.01257604117922321,0.006268374331233506,115.51181503883093,1
Microsoft System Center,Enterprise system management software,High-tech,1,Cybersecurity & system infrastructure skills,88,278,796,669,421,453,455,132,-0.32286995515695066,-0.1771208807831801,38.16139928803573,1
Microsoft Team Foundation Server,Project management software,High-tech,1,Software/product dev & data skills,261,903,1513,1297,503,470,380,129,-0.6376252891287587,-0.39802432701043367,26.08154348090594,1
Microsoft Virtual Server,Application server software,High-tech,1,Cybersecurity & system infrastructure skills,66,172,238,226,121,148,262,95,-0.34513274336283184,-0.19076131046695,21.141003267475444,1
Microsoft Visio,Graphics or photo imaging software,High-tech,1,Workforce digital skills,2333,7887,13714,11764,6975,9731,12535,5142,-0.17281536892213534,-0.09050308902236248,95.49957004385388,1
Microsoft Visual Basic,Development environment software,High-tech,1,Software/product dev & data skills,1078,2680,4570,4149,3541,2906,2357,846,-0.299590262713907,-0.1630951444243539,29.27906582362321,1
Microsoft Visual Basic Scripting Edition (VBScript),Object or component oriented development software,High-tech,1,Software/product dev & data skills,237,305,630,577,277,311,405,124,-0.4610051993067591,-0.2658373472497795,37.979513435768446,1
Microsoft Visual Basic for Applications (VBA),Development environment software,High-tech,1,Software/product dev & data skills,849,2446,4977,4874,2718,4272,5348,1955,-0.12351251538777185,-0.06379089696145968,62.5754480115131,1
Microsoft Visual Studio,Development environment software,High-tech,1,Software/product dev & data skills,934,2961,5554,5468,1963,2159,2268,767,-0.6051572787125091,-0.37163488218433793,19.644049101107345,1
Microsoft Windows,Operating system software,General office,1,Workforce digital skills,6954,14923,28283,28216,22289,28116,32233,15727,-0.0035440884604479726,-0.0017736170890132463,136.6929550203266,1
Microsoft Windows PowerShell,Operating system software,High-tech,1,Software/product dev & data skills,42,99,172,158,264,222,191,78,0.4050632911392405,0.18535365656804736,27.82104114021775,1
Microsoft Windows Server,Application server software,High-tech,1,Cybersecurity & system infrastructure skills,1009,3281,6388,6066,3783,5052,5737,2136,-0.1671612265084075,-0.08739999260815667,32.093267787084685,1
Microsoft Windows XP,Operating system software,High-tech,1,Cybersecurity & system infrastructure skills,278,723,1320,1046,475,482,591,224,-0.5391969407265774,-0.32117523669696424,143.670426516976,1
Microsoft Word,Word processing software,General office,1,Workforce digital skills,34599,104057,229963,229715,153665,213204,303470,129069,-0.07187602028600658,-0.036608086127980055,163.41430165627065,1
Microsoft operating system,Operating system software,High-tech,1,Cybersecurity & system infrastructure skills,1461,4201,8056,8306,5588,6901,8923,3593,-0.16915482783529978,-0.08849291162125339,92.54049798040342,1
Microsoft suite,Office suite software,General office,1,Workforce digital skills,5234,21027,58600,60926,44727,65624,98141,43048,0.07710993664445392,0.0378390706869991,151.4820209858323,1
Minitab,Analytical or scientific software,Business and management,1,Workforce digital skills,63,194,438,404,224,311,480,176,-0.2301980198019802,-0.12261640076986857,81.56583330335519,1
